ft_theta_pli_mean,ft_theta_pli_std,ft_theta_pli_min,ft_theta_clustering_coefficient,ft_theta_path_length,ft_theta_global_efficiency,ft_theta_modularity,delta_pli_mean,delta_pli_std,delta_clustering_coefficient,delta_path_length,delta_global_efficiency,delta_modularity,theta_pli_mean,theta_pli_std,theta_clustering_coefficient,theta_path_length,theta_global_efficiency,theta_modularity,alpha_pli_mean,alpha_pli_std,alpha_clustering_coefficient,alpha_path_length,alpha_global_efficiency,alpha_modularity,beta_pli_mean,beta_pli_std,beta_clustering_coefficient,beta_path_length,beta_global_efficiency,beta_modularity,gamma_pli_mean,gamma_pli_std,gamma_clustering_coefficient,gamma_path_length,gamma_global_efficiency,gamma_modularity,whole_brain_pli_mean,whole_brain_pli_max,whole_brain_clustering_coefficient,whole_brain_path_length,whole_brain_global_efficiency,whole_brain_modularity,delta_power_mean,theta_power_std,beta_power_mean
0.044635591289346,0.0345135877184397,0.0015950001627551,0.0,2.0,0.4613095238095237,0.2142857142857142,0.0429229791382202,0.0307404293834383,0.3283333333333332,2.036842105263158,0.5780701754385972,0.2695789950203712,0.0501174406671931,0.0388904603464867,0.3114285714285714,2.0,0.5346491228070182,0.2478497057492078,0.0924325722675557,0.0604544916375525,0.382550505050505,1.9824561403508767,0.535964912280702,0.2514712539610684,0.0343665142479257,0.026189920106534,0.3937698412698412,1.9298245614035088,0.5412280701754393,0.231805293005671,0.0365964306945874,0.0314486972270405,0.3836363636363636,2.094736842105263,0.5714912280701758,0.2383431416930738,0.031010846343749,0.1518505256990332,0.2757936507936508,1.8366013071895424,0.5070175438596491,0.1951109099139882,2.0010837585460126e-09,1.891963636521917e-09,1.6957918033889883e-11
0.0457690644370765,0.0372675104808285,0.0044594902509683,0.4791666666666666,1.3,0.3035714285714285,0.0306122448979591,0.0501756898675515,0.0402613953556753,0.2943578643578644,1.906432748538012,0.5469298245614035,0.1944318696242643,0.0469850042573312,0.0347208462941228,0.2077777777777777,1.95906432748538,0.5399122807017546,0.243322770484382,0.11861061951451,0.0727566963429357,0.3427056277056277,1.976608187134503,0.5377192982456143,0.2415119963784517,0.0393855394646898,0.0310146417643089,0.3681593406593407,2.1052631578947367,0.5727192982456143,0.2279311905839746,0.0246080599761178,0.0221411153345791,0.4069047619047617,2.0052631578947366,0.5815789473684215,0.2550928021729289,0.0615303435503572,0.2536050258780639,0.4584165834165833,1.8421052631578947,0.5561403508771932,0.2270258035310095,2.261472785514074e-09,6.443040413548617e-10,1.4386037526055504e-11
0.0300690081703069,0.0252079805262689,0.0006184694508642,0.1875,1.7333333333333334,0.3988095238095237,0.326530612244898,0.0574069854496923,0.0417374186022206,0.2655555555555556,1.8235294117647056,0.5087719298245613,0.1939791760977818,0.0741195376384061,0.0590639563093813,0.3059848484848485,2.1157894736842104,0.5694736842105262,0.1946582163875056,0.1507595524405558,0.1354398782974987,0.4966071428571429,1.7516339869281046,0.5184210526315788,0.1903576278859212,0.057976285722607,0.0842285638563036,0.4066911764705883,1.8421052631578947,0.6087719298245615,0.2168401991851516,0.0313892948249011,0.0329434139043859,0.3926623376623376,1.9532163742690056,0.541666666666667,0.2014486192847442,0.0518688570650283,0.2206633898636112,0.1986111111111111,1.9684210526315788,0.5877192982456143,0.2385694884563151,1.3259698535472384e-11,2.8761747252913265e-12,7.809779853137822e-13
0.0471176068487353,0.0335853306960731,0.0009439796881611,0.0,1.6666666666666667,0.3809523809523809,0.1224489795918366,0.052708844798432,0.0370670856369917,0.2826190476190476,2.031578947368421,0.5793859649122812,0.2521502942507922,0.0431844152551229,0.0317609994853232,0.2348412698412698,1.8366013071895424,0.5074561403508773,0.1912630149388863,0.0797940376803797,0.0459670101170521,0.3094047619047618,1.9649122807017545,0.5377192982456147,0.271842462652784,0.0355959150178431,0.0261556611568184,0.2508585858585859,1.9894736842105265,0.5850877192982469,0.2014486192847442,0.0208900477814764,0.016583679765073,0.2822294372294372,1.8596491228070176,0.553947368421053,0.1944318696242643,0.0455638950897637,0.2551023729696299,0.2498412698412698,1.8496732026143792,0.5052631578947374,0.1813037573562698,3.243470432141023e-12,6.580657659294457e-13,6.611289388201404e-13
0.0400877482596827,0.0311936290832918,0.0034504085153478,0.0,2.0,0.4613095238095237,0.2142857142857142,0.073117480071064,0.0547554771730366,0.3305494505494505,1.8830409356725144,0.5500000000000005,0.2141240380262562,0.0391503154879484,0.0311406867195255,0.3372222222222222,1.8104575163398693,0.510526315789474,0.2392485287460389,0.1140822581501767,0.0785965877209257,0.3850396825396825,1.8758169934640525,0.5021929824561404,0.19895880488909,0.0259018775087844,0.0193509098106397,0.3007539682539682,2.0584795321637426,0.5271929824561411,0.2351742870076957,0.0277857251768462,0.0255926300584648,0.3984188034188033,1.7720588235294117,0.4679824561403509,0.1717971933001357,0.04609293488596,0.1855733862829986,0.3760930735930736,1.8366013071895424,0.5074561403508778,0.243322770484382,4.832136013513463e-12,1.1103447538119092e-12,1.0926945667682272e-12
0.1266478955763159,0.0559846932735613,0.0336252075127762,0.0,1.9047619047619049,0.4702380952380952,0.2244897959183673,0.0381686451407317,0.0298052510494373,0.3190476190476191,1.894736842105263,0.6000000000000006,0.2283838841104571,0.1009828695954593,0.0743564837439381,0.3998934398934399,1.625,0.4377192982456141,0.154594839293798,0.1045720482646021,0.0730006308516134,0.5384271284271284,1.816993464052288,0.5096491228070181,0.219556360344047,0.0341789175585361,0.0247178932802976,0.2626154401154401,1.9684210526315788,0.5890350877192985,0.2152557718424626,0.0240450985867716,0.0280740982404565,0.318968253968254,1.931578947368421,0.5942982456140357,0.2197827071072883,0.0416670235857865,0.171055629699554,0.3369227994227994,1.976608187134503,0.537719298245615,0.2464916251697601,6.3206280847789676e-12,3.328980669841312e-12,2.984029560338173e-13
0.1813103647109701,0.0781065176669027,0.0206699000683571,0.0,1.809523809523809,0.4821428571428571,0.2040816326530612,0.0535364974070539,0.0342479323933933,0.3328174603174603,2.0116959064327484,0.5324561403508774,0.240153915799004,0.1574638640806306,0.08008484491108,0.2562049062049062,1.8562091503267972,0.5043859649122813,0.1468990493435944,0.1178773648747042,0.0761598189018509,0.3842712842712842,1.8083333333333331,0.4232456140350881,0.1622906292440018,0.0346949369452406,0.025340746508846,0.2516666666666666,2.1052631578947367,0.569736842105264,0.2478497057492077,0.0259597840667878,0.0242114334702795,0.2756349206349206,2.126315789473684,0.5657894736842114,0.2691263014938886,0.0452435244877925,0.1597929754890791,0.308452380952381,1.786764705882353,0.4662280701754386,0.1727025803531009,3.3258663605211026e-12,1.8477487069343707e-12,4.0713928106250163e-13
0.1239019842174036,0.0568143630609121,0.0230786758243546,0.0,1.809523809523809,0.4821428571428571,0.2040816326530612,0.0538705737032271,0.0371211468441397,0.2735714285714285,2.221052631578947,0.5566666666666676,0.2089180624717066,0.0969835480273223,0.0568164744661405,0.3004365079365079,1.8888888888888888,0.5013157894736844,0.229062924400181,0.0880520610794261,0.0625119467754347,0.286576479076479,2.236842105263158,0.557105263157895,0.260751471253961,0.0570180863767112,0.0409356551291135,0.5108080808080808,1.8888888888888888,0.5495614035087719,0.2609778180172024,0.0350601936957233,0.041184143106223,0.4028754578754578,1.843137254901961,0.5078947368421053,0.1591217745586238,0.0475882261233957,0.2149344096871846,0.3153968253968254,1.9239766081871343,0.5438596491228074,0.1923947487550927,5.8192327124766556e-12,1.5348660813135554e-12,5.177573462965752e-13
0.2060503052821011,0.0894535429297065,0.0266592884346212,0.3583333333333333,1.5333333333333334,0.3928571428571428,0.0714285714285714,0.0388700340415179,0.0288695188888761,0.3615873015873015,1.9941520467836256,0.5346491228070179,0.1901312811226799,0.1637737943700434,0.0849577438764635,0.401969696969697,1.9239766081871343,0.5451754385964918,0.208465368945224,0.0912218455059885,0.0677549808721102,0.3088492063492064,2.0292397660818717,0.5307017543859657,0.2030330466274332,0.0377007670049117,0.027990224951342,0.3678030303030303,1.9649122807017545,0.5399122807017546,0.1946582163875056,0.0281256263930553,0.0288590524399789,0.32002886002886,2.0,0.58421052631579,0.2539610683567225,0.0473439221242455,0.17255297679112,0.33,1.9649122807017545,0.5385964912280711,0.2134449977365324,8.148519772955699e-12,3.716238308448263e-12,6.746506568277897e-13
0.1067778206624598,0.0774514549048059,0.0009439796881611,0.1875,1.6,0.3869047619047619,0.1224489795918366,0.0463096561755288,0.0312762009482262,0.3438888888888889,1.9947368421052631,0.5837719298245616,0.2408329560887279,0.1032014788444043,0.0620576257623741,0.2500901875901876,1.8496732026143792,0.5057017543859655,0.1693073789044816,0.1019880109439968,0.0647968232626365,0.267063492063492,2.0157894736842104,0.5811403508771938,0.2374377546401086,0.0439449099621551,0.0328892270783727,0.3471320346320346,2.294736842105263,0.5543859649122808,0.2166138524219104,0.0311249462479805,0.0294656359480259,0.3304761904761905,2.0842105263157893,0.573684210526316,0.2573562698053418,0.0468940327120656,0.1895446111780215,0.36,2.0350877192982457,0.5311403508771936,0.2856496152105024,3.521157983893232e-12,1.2199908830057008e-12,3.550865384510481e-13
