ft_theta_pli_mean,ft_theta_pli_std,ft_theta_pli_max,ft_theta_pli_min,ft_theta_connectivity_strength,ft_theta_network_density,ft_theta_clustering_coefficient,ft_theta_path_length,ft_theta_global_efficiency,ft_theta_modularity,delta_pli_mean,delta_pli_std,delta_connectivity_strength,delta_clustering_coefficient,delta_path_length,delta_global_efficiency,delta_modularity,theta_pli_mean,theta_pli_std,theta_connectivity_strength,theta_clustering_coefficient,theta_path_length,theta_global_efficiency,theta_modularity,alpha_pli_mean,alpha_pli_std,alpha_connectivity_strength,alpha_clustering_coefficient,alpha_path_length,alpha_global_efficiency,alpha_modularity,beta_pli_mean,beta_pli_std,beta_connectivity_strength,beta_clustering_coefficient,beta_path_length,beta_global_efficiency,beta_modularity,gamma_pli_mean,gamma_pli_std,gamma_connectivity_strength,gamma_clustering_coefficient,gamma_path_length,gamma_global_efficiency,gamma_modularity,whole_brain_pli_mean,whole_brain_pli_std,whole_brain_pli_max,whole_brain_connectivity_strength,whole_brain_clustering_coefficient,whole_brain_path_length,whole_brain_global_efficiency,whole_brain_modularity,delta_power_mean,delta_power_std,theta_power_mean,theta_power_std,alpha_power_mean,alpha_power_std,beta_power_mean,beta_power_std,gamma_power_mean,gamma_power_std
0.04463559128934604,0.0345135877184397,0.1372025650206699,0.0015950001627551187,1.2497965561016893,0.07142857142857142,0.0,2.0,0.4613095238095237,0.21428571428571427,0.04292297913822021,0.030740429383438326,8.15536603626184,0.32833333333333325,2.036842105263158,0.5780701754385972,0.2695789950203712,0.050117440667193196,0.038890460346486716,9.522313726766708,0.31142857142857144,2.0,0.5346491228070182,0.2478497057492078,0.09243257226755572,0.060454491637552586,17.562188730835587,0.38255050505050503,1.9824561403508771,0.535964912280702,0.2514712539610684,0.03436651424792573,0.026189920106534016,6.529637707105889,0.39376984126984127,1.9298245614035088,0.5412280701754393,0.23180529300567104,0.03659643069458745,0.03144869722704059,6.953321831971615,0.38363636363636366,2.094736842105263,0.5714912280701758,0.2383431416930738,0.03101084634374909,0.026014484423248663,0.15185052569903323,5.892060805312327,0.2757936507936508,1.8366013071895424,0.5070175438596491,0.19511090991398825,2.0010837585460126e-09,9.215536038609367e-09,3.4645053194238444e-10,1.8919636365219175e-09,9.775698591727524e-11,4.6303561130790445e-10,1.6957918033889883e-11,7.213925062307041e-11,5.4374528622933685e-12,1.8044061127880993e-11
0.045769064437076554,0.037267510480828575,0.14924644380065752,0.004459490250968393,1.2815338042381434,0.10714285714285714,0.47916666666666663,1.3,0.30357142857142855,0.03061224489795919,0.050175689867551596,0.04026139535567538,9.533381074834804,0.2943578643578644,1.9064327485380117,0.5469298245614035,0.19443186962426437,0.04698500425733126,0.03472084629412284,8.92715080889294,0.20777777777777776,1.95906432748538,0.5399122807017546,0.24332277048438206,0.11861061951451006,0.07275669634293574,22.536017707756912,0.3427056277056277,1.976608187134503,0.5377192982456143,0.24151199637845178,0.03938553946468985,0.03101464176430898,7.483252498291072,0.3681593406593407,2.1052631578947367,0.5727192982456143,0.22793119058397468,0.02460805997611783,0.02214111533457914,4.675531395462388,0.40690476190476177,2.0052631578947366,0.5815789473684215,0.2550928021729289,0.06153034355035728,0.05244033440877594,0.2536050258780639,11.690765274567884,0.45841658341658337,1.8421052631578947,0.5561403508771932,0.2270258035310095,2.2614727855140745e-09,7.1467536179608864e-09,2.402752329022464e-10,6.443040413548618e-10,6.69542282236985e-11,1.7388257415305946e-10,1.4386037526055503e-11,4.0861247250509766e-11,4.449841979949503e-12,1.138845593904104e-11
0.030069008170306954,0.025207980526268905,0.12633052309495132,0.0006184694508642297,0.8419322287685947,0.03571428571428571,0.1875,1.7333333333333334,0.3988095238095237,0.326530612244898,0.05740698544969238,0.041737418602220654,10.907327235441553,0.2655555555555556,1.8235294117647058,0.5087719298245613,0.1939791760977818,0.0741195376384061,0.05906395630938132,14.082712151297159,0.3059848484848485,2.1157894736842104,0.5694736842105262,0.19465821638750566,0.15075955244055583,0.1354398782974987,28.644314963705607,0.4966071428571429,1.7516339869281046,0.5184210526315788,0.19035762788592123,0.05797628572260703,0.08422856385630367,11.015494287295336,0.4066911764705883,1.8421052631578947,0.6087719298245615,0.21684019918515166,0.031389294824901194,0.03294341390438596,5.963966016731227,0.39266233766233766,1.9532163742690059,0.541666666666667,0.20144861928474422,0.051868857065028376,0.04383867754208612,0.2206633898636112,9.855082842355392,0.1986111111111111,1.9684210526315788,0.5877192982456143,0.2385694884563151,1.3259698535472384e-11,3.2532365125614024e-11,3.6375068587932822e-12,2.8761747252913265e-12,4.42347033557861e-12,4.4114819228123246e-12,7.809779853137821e-13,5.411143793647864e-13,2.409369675501379e-13,2.397220042087618e-13
0.04711760684873539,0.033585330696073105,0.12984603365775854,0.0009439796881611927,1.3192929917645908,0.10714285714285714,0.0,1.6666666666666667,0.38095238095238093,0.12244897959183669,0.05270884479843207,0.03706708563699174,10.014680511702093,0.28261904761904766,2.031578947368421,0.5793859649122812,0.2521502942507922,0.04318441525512293,0.03176099948532322,8.205038898473356,0.23484126984126985,1.8366013071895424,0.5074561403508773,0.19126301493888637,0.07979403768037979,0.045967010117052114,15.16086715927216,0.30940476190476185,1.9649122807017543,0.5377192982456147,0.27184246265278406,0.0355959150178431,0.026155661156818458,6.76322385339019,0.2508585858585859,1.9894736842105263,0.5850877192982469,0.20144861928474422,0.02089004778147641,0.016583679765073033,3.9691090784805176,0.2822294372294372,1.8596491228070176,0.553947368421053,0.19443186962426437,0.04556389508976374,0.0419279810470565,0.2551023729696299,8.65714006705511,0.24984126984126984,1.8496732026143792,0.5052631578947374,0.1813037573562698,3.2434704321410227e-12,3.4953201679504423e-12,1.510366983437369e-12,6.580657659294457e-13,2.6102224311493757e-12,2.120899049252964e-12,6.611289388201404e-13,4.794824864086545e-13,3.0658511969920396e-13,4.260762694476077e-13
0.04008774825968277,0.03119362908329183,0.12707919664073436,0.0034504085153478077,1.1224569512711176,0.07142857142857142,0.0,2.0,0.4613095238095237,0.21428571428571427,0.07311748007106403,0.05475547717303667,13.892321213502164,0.3305494505494505,1.8830409356725146,0.5500000000000005,0.21412403802625624,0.03915031548794841,0.031140686719525558,7.438559942710198,0.3372222222222222,1.8104575163398693,0.510526315789474,0.23924852874603894,0.11408225815017671,0.07859658772092579,21.675629048533576,0.38503968253968257,1.8758169934640523,0.5021929824561404,0.19895880488909007,0.02590187750878449,0.01935090981063973,4.921356726669053,0.3007539682539682,2.0584795321637426,0.5271929824561411,0.23517428700769577,0.02778572517684628,0.025592630058464856,5.279287783600793,0.39841880341880337,1.7720588235294117,0.4679824561403509,0.17179719330013576,0.046092934885960064,0.039262372025279775,0.1855733862829986,8.757657628332412,0.3760930735930736,1.8366013071895424,0.5074561403508778,0.24332277048438206,4.832136013513463e-12,1.261112552133281e-11,2.150527676501922e-12,1.1103447538119092e-12,3.4158666769804588e-12,3.067380933454895e-12,1.0926945667682272e-12,1.192736041735106e-12,6.168098856108839e-13,1.0587144233450095e-12
0.1266478955763159,0.05598469327356138,0.2296149213892777,0.03362520751277628,3.546141076136845,0.7142857142857143,0.0,1.9047619047619047,0.47023809523809523,0.22448979591836735,0.03816864514073179,0.02980525104943731,7.25204257673904,0.3190476190476191,1.894736842105263,0.6000000000000006,0.22838388411045718,0.1009828695954593,0.07435648374393813,19.186745223137265,0.3998934398934399,1.625,0.4377192982456141,0.15459483929379808,0.10457204826460213,0.07300063085161348,19.868689170274404,0.5384271284271284,1.8169934640522876,0.5096491228070181,0.21955636034404707,0.03417891755853616,0.024717893280297665,6.493994336121871,0.2626154401154401,1.9684210526315788,0.5890350877192985,0.21525577184246264,0.024045098586771608,0.028074098240456587,4.5685687314866055,0.318968253968254,1.931578947368421,0.5942982456140357,0.21978270710728837,0.041667023585786514,0.034331787944305525,0.17105562969955404,7.916734481299438,0.3369227994227994,1.976608187134503,0.537719298245615,0.2464916251697601,6.320628084778968e-12,5.897404309298689e-12,6.327210004741592e-12,3.3289806698413117e-12,1.7360169589896167e-12,1.7128249441744828e-12,2.9840295603381724e-13,3.545759111769894e-13,4.511389490226932e-14,3.4442423106108786e-14
0.18131036471097017,0.07810651766690276,0.3075746232219003,0.02066990006835715,5.076690211907165,0.8571428571428571,0.0,1.8095238095238095,0.48214285714285715,0.20408163265306123,0.05353649740705397,0.034247932393393354,10.171934507340254,0.3328174603174603,2.0116959064327484,0.5324561403508774,0.24015391579900408,0.1574638640806306,0.08008484491108003,29.918134175319814,0.2562049062049062,1.8562091503267975,0.5043859649122813,0.1468990493435944,0.11787736487470424,0.07615981890185097,22.396699326193804,0.38427128427128426,1.8083333333333333,0.4232456140350881,0.1622906292440018,0.03469493694524061,0.02534074650884601,6.592038019595717,0.2516666666666666,2.1052631578947367,0.569736842105264,0.24784970574920778,0.02595978406678785,0.024211433470279525,4.932358972689691,0.2756349206349206,2.126315789473684,0.5657894736842114,0.26912630149388866,0.045243524487792515,0.035953525005151324,0.15979297548907914,8.596269652680578,0.308452380952381,1.786764705882353,0.46622807017543866,0.17270258035310093,3.3258663605211026e-12,2.280800873935139e-12,3.742563373812532e-12,1.8477487069343707e-12,2.110850158790635e-12,1.69365827905092e-12,4.071392810625016e-13,3.680307442570363e-13,4.847709176641761e-14,2.919239644975153e-14
0.12390198421740363,0.05681436306091214,0.2312750235994922,0.023078675824354675,3.4692555580873017,0.6428571428571429,0.0,1.8095238095238095,0.48214285714285715,0.20408163265306123,0.053870573703227176,0.037121146844139766,10.235409003613164,0.2735714285714285,2.221052631578947,0.5566666666666676,0.20891806247170663,0.09698354802732231,0.05681647446614055,18.42687412519124,0.30043650793650795,1.8888888888888888,0.5013157894736844,0.22906292440018108,0.08805206107942619,0.06251194677543474,16.729891605090977,0.28657647907647904,2.236842105263158,0.557105263157895,0.26075147125396103,0.057018086376711276,0.04093565512911359,10.833436411575143,0.5108080808080808,1.8888888888888888,0.5495614035087719,0.2609778180172024,0.03506019369572331,0.041184143106223065,6.661436802187429,0.40287545787545787,1.8431372549019607,0.5078947368421053,0.1591217745586238,0.04758822612339578,0.04283233054527937,0.21493440968718466,9.041762963445198,0.31539682539682545,1.9239766081871346,0.5438596491228074,0.19239474875509277,5.819232712476656e-12,2.1590645164089883e-11,2.535933035665748e-12,1.5348660813135554e-12,2.2961926525754604e-12,2.525109897260112e-12,5.177573462965751e-13,4.811963625860127e-13,2.6171159460619995e-13,2.8375445156540576e-13
0.20605030528210114,0.0894535429297065,0.3775593242407474,0.02665928843462127,5.7694085478988315,0.8928571428571429,0.35833333333333334,1.5333333333333334,0.39285714285714285,0.07142857142857145,0.038870034041517974,0.028869518888876136,7.385306467888415,0.36158730158730157,1.9941520467836258,0.5346491228070179,0.19013128112267993,0.16377379437004347,0.08495774387646353,31.11702093030826,0.401969696969697,1.9239766081871346,0.5451754385964918,0.20846536894522408,0.09122184550598852,0.06775498087211025,17.33215064613782,0.3088492063492064,2.0292397660818713,0.5307017543859657,0.2030330466274332,0.03770076700491178,0.027990224951342086,7.1631457309332385,0.36780303030303035,1.9649122807017543,0.5399122807017546,0.19465821638750566,0.028125626393055325,0.028859052439978918,5.343869014680512,0.32002886002886,2.0,0.58421052631579,0.2539610683567225,0.04734392212424555,0.03714427173695233,0.17255297679112008,8.995345203606654,0.33,1.9649122807017543,0.5385964912280711,0.2134449977365324,8.148519772955699e-12,6.761322146818073e-12,6.965080414113362e-12,3.716238308448263e-12,2.620234762408897e-12,2.6629038012757064e-12,6.746506568277897e-13,1.2314868069057256e-12,2.617009836371093e-13,8.520489976526464e-13
0.10677782066245985,0.07745145490480594,0.2190358386771264,0.0009439796881611927,2.9897789785488755,0.5357142857142857,0.1875,1.6,0.3869047619047619,0.12244897959183669,0.046309656175528825,0.03127620094822623,8.798834673350477,0.3438888888888889,1.9947368421052631,0.5837719298245616,0.2408329560887279,0.10320147884440439,0.062057625762374155,19.608280980436835,0.2500901875901876,1.8496732026143792,0.5057017543859655,0.16930737890448166,0.10198801094399682,0.0647968232626365,19.377722079359394,0.26706349206349206,2.0157894736842104,0.5811403508771938,0.23743775464010863,0.043944909962155145,0.032889227078372746,8.349532892809478,0.3471320346320346,2.294736842105263,0.5543859649122808,0.2166138524219104,0.03112494624798055,0.029465635948025905,5.913739787116304,0.3304761904761905,2.0842105263157893,0.573684210526316,0.2573562698053418,0.04689403271206564,0.03753600612761388,0.18954461117802154,8.909866215292471,0.36,2.0350877192982457,0.5311403508771936,0.28564961521050247,3.5211579838932316e-12,2.921439743854205e-12,2.823355758031186e-12,1.2199908830057008e-12,2.5233168440266065e-12,1.9108829103968425e-12,3.5508653845104806e-13,2.8754960751597635e-13,6.587099623452456e-14,6.437292790259996e-14
0.06715508702748701,0.028822921156233965,0.1442335861462843,0.02438071677354253,1.8803424367696364,0.21428571428571427,0.1875,1.6,0.3869047619047619,0.12244897959183669,0.043759540448073404,0.03277682382382294,8.314312685133947,0.3836940836940837,1.9789473684210526,0.5868421052631584,0.21299230421004978,0.05936193140642695,0.03971776109079305,11.27876696722112,0.39142496392496395,1.9707602339181287,0.5381578947368427,0.2098234495246718,0.110999847524152,0.07613583982068681,21.08997102958888,0.4669472194472194,1.65,0.43508771929824563,0.12516976007243097,0.03311689757906044,0.02613033452071553,6.292210540021483,0.3097619047619048,1.8954248366013071,0.49956140350877193,0.1672702580353101,0.017803868089546156,0.01379521986038258,3.3827349370137694,0.2753174603174603,1.912280701754386,0.5456140350877199,0.2197827071072884,0.027875326152691712,0.02781059440718934,0.13407766674261906,5.296311969011425,0.32940836940836943,2.1052631578947367,0.5255263157894741,0.2288365776369398,2.468700377438286e-12,2.0300724511426885e-12,1.6521394789972558e-12,1.723757356606988e-12,8.396240746022455e-12,1.4871342309039393e-11,3.245083267393993e-13,3.1560191040152915e-13,1.1115756000324554e-13,1.596939326073573e-13
0.03711979241747153,0.021931156196684967,0.0755834771003548,0.0021158165424302595,1.0393541876892027,0.0,0.0,2.8214285714285716,0.5035714285714284,0.37755102040816324,0.05197439091038361,0.03738063394092337,9.875134272972886,0.39674242424242423,1.8758169934640523,0.5030701754385969,0.19760072430964237,0.03573708366812347,0.025008509022133484,6.790045896943459,0.2365873015873016,1.9947368421052631,0.5850877192982462,0.2600724309642372,0.0777861534797901,0.05105502889740296,14.779369161160119,0.38091269841269837,1.908496732026144,0.497368421052632,0.23902218198279768,0.024893652379051532,0.01865149304784513,4.729793952019791,0.2988492063492063,2.0157894736842104,0.5815789473684212,0.24649162516976006,0.02104783458597668,0.0230934722617763,3.9990885713355686,0.41648459383753506,1.8789473684210527,0.6026315789473685,0.1822091444092349,0.02863085254557572,0.022645806496404144,0.10523745971810813,5.4398619836593864,0.29341269841269835,1.935672514619883,0.5429824561403512,0.2548664554096876,1.3150055796417344e-11,3.9259422277621535e-11,2.283261853970088e-12,5.2097388513599965e-12,5.950254014889008e-12,1.1127017693004372e-11,3.9101494786019896e-13,5.963995673986292e-13,2.007693521488071e-13,4.690238031634994e-13
0.04427404241863405,0.026438987698657903,0.1029588880570294,0.005045408678102927,1.2396731877217535,0.03571428571428571,0.0,2.4285714285714284,0.530952380952381,0.35714285714285715,0.07359478087164789,0.04470523406364264,13.983008365613099,0.2629761904761905,2.0526315789473686,0.5754385964912286,0.24151199637845175,0.04339239916463794,0.031187732214023628,8.244555841281208,0.2896031746031746,1.9842105263157894,0.5855263157894743,0.2476233589859665,0.09001934216094254,0.07007912920909082,17.10367501057908,0.20267316017316017,1.9239766081871346,0.5451754385964912,0.19035762788592125,0.04237749250898151,0.02672456412062053,8.051723576706488,0.2225,2.0,0.5342105263157902,0.20212765957446807,0.027676593586763037,0.01835450021566542,5.258552781484977,0.2531349206349206,2.026315789473684,0.577631578947369,0.23983931947069942,0.07091360444338606,0.05240060775662745,0.2118746134565932,13.473584844243351,0.28590187590187593,1.7205882352941178,0.47368421052631576,0.14961521050248977,5.536390097034753e-12,8.195922351139714e-12,9.036376855021265e-13,5.238388954368678e-13,2.56062711135442e-12,3.0897038881515246e-12,2.0158706098121614e-13,1.6915069370498713e-13,4.666694506568549e-14,3.501891044095633e-14
0.05405795012253134,0.046923054237830324,0.15211093388887081,0.0004882653559454445,1.5136226034308775,0.17857142857142858,0.0,1.6666666666666667,0.38095238095238093,0.12244897959183669,0.04705353272834115,0.039961807417455746,8.940171218384819,0.24116605616605616,1.936842105263158,0.5942982456140355,0.2315527387958352,0.0578416272770726,0.042838267608154665,10.989909182643794,0.2711147186147186,1.95906432748538,0.5403508771929828,0.23789044816659122,0.07226858363642906,0.05123336636884659,13.73103089092152,0.24690476190476188,1.9181286549707601,0.5456140350877197,0.23924852874603894,0.06204379311939888,0.041019981893526444,11.788320692685787,0.29537878787878785,1.95906432748538,0.5399122807017549,0.2308736985061114,0.04659010894313679,0.0378757716047048,8.85212069919599,0.3956746031746032,1.9052631578947368,0.5982456140350881,0.2686736079674061,0.03577049129774079,0.030632233802447034,0.14996256632271085,6.79639334657075,0.2717063492063492,1.976608187134503,0.5342105263157894,0.27433837429111535,5.267900672265723e-11,1.7902170559408e-10,3.8812893427347385e-12,8.709949140755513e-12,1.9455161995068176e-12,2.0532453716087773e-12,5.028591014993771e-13,5.99460028772645e-13,9.623899982973793e-13,4.510793890860772e-12
