delta_pli_std,theta_pli_mean,theta_pli_std,theta_modularity,beta_path_length,alpha_pli_mean,whole_brain_clustering_coefficient,theta_power_std,gamma_pli_std,delta_pli_mean,ft_theta_pli_mean,alpha_pli_std,beta_clustering_coefficient,ft_theta_pli_std,gamma_clustering_coefficient
0.030740429383438326,0.050117440667193196,0.038890460346486716,0.2478497057492078,1.9298245614035088,0.09243257226755572,0.2757936507936508,1.8919636365219175e-09,0.03144869722704059,0.04292297913822021,0.04463559128934604,0.060454491637552586,0.39376984126984127,0.0345135877184397,0.38363636363636366
0.04026139535567538,0.04698500425733126,0.03472084629412284,0.24332277048438206,2.1052631578947367,0.11861061951451006,0.45841658341658337,6.443040413548618e-10,0.02214111533457914,0.050175689867551596,0.045769064437076554,0.07275669634293574,0.3681593406593407,0.037267510480828575,0.40690476190476177
0.041737418602220654,0.0741195376384061,0.05906395630938132,0.19465821638750566,1.8421052631578947,0.15075955244055583,0.1986111111111111,2.8761747252913265e-12,0.03294341390438596,0.05740698544969238,0.030069008170306954,0.1354398782974987,0.4066911764705883,0.025207980526268905,0.39266233766233766
0.03706708563699174,0.04318441525512293,0.03176099948532322,0.19126301493888637,1.9894736842105263,0.07979403768037979,0.24984126984126984,6.580657659294457e-13,0.016583679765073033,0.05270884479843207,0.04711760684873539,0.045967010117052114,0.2508585858585859,0.033585330696073105,0.2822294372294372
0.05475547717303667,0.03915031548794841,0.031140686719525558,0.23924852874603894,2.0584795321637426,0.11408225815017671,0.3760930735930736,1.1103447538119092e-12,0.025592630058464856,0.07311748007106403,0.04008774825968277,0.07859658772092579,0.3007539682539682,0.03119362908329183,0.39841880341880337
0.02980525104943731,0.1009828695954593,0.07435648374393813,0.15459483929379808,1.9684210526315788,0.10457204826460213,0.3369227994227994,3.3289806698413117e-12,0.028074098240456587,0.03816864514073179,0.1266478955763159,0.07300063085161348,0.2626154401154401,0.05598469327356138,0.318968253968254
0.034247932393393354,0.1574638640806306,0.08008484491108003,0.1468990493435944,2.1052631578947367,0.11787736487470424,0.308452380952381,1.8477487069343707e-12,0.024211433470279525,0.05353649740705397,0.18131036471097017,0.07615981890185097,0.2516666666666666,0.07810651766690276,0.2756349206349206
0.037121146844139766,0.09698354802732231,0.05681647446614055,0.22906292440018108,1.8888888888888888,0.08805206107942619,0.31539682539682545,1.5348660813135554e-12,0.041184143106223065,0.053870573703227176,0.12390198421740363,0.06251194677543474,0.5108080808080808,0.05681436306091214,0.40287545787545787
0.028869518888876136,0.16377379437004347,0.08495774387646353,0.20846536894522408,1.9649122807017543,0.09122184550598852,0.33,3.716238308448263e-12,0.028859052439978918,0.038870034041517974,0.20605030528210114,0.06775498087211025,0.36780303030303035,0.0894535429297065,0.32002886002886
0.03127620094822623,0.10320147884440439,0.062057625762374155,0.16930737890448166,2.294736842105263,0.10198801094399682,0.36,1.2199908830057008e-12,0.029465635948025905,0.046309656175528825,0.10677782066245985,0.0647968232626365,0.3471320346320346,0.07745145490480594,0.3304761904761905
0.03277682382382294,0.05936193140642695,0.03971776109079305,0.2098234495246718,1.8954248366013071,0.110999847524152,0.32940836940836943,1.723757356606988e-12,0.01379521986038258,0.043759540448073404,0.06715508702748701,0.07613583982068681,0.3097619047619048,0.028822921156233965,0.2753174603174603
0.03738063394092337,0.03573708366812347,0.025008509022133484,0.2600724309642372,2.0157894736842104,0.0777861534797901,0.29341269841269835,5.2097388513599965e-12,0.0230934722617763,0.05197439091038361,0.03711979241747153,0.05105502889740296,0.2988492063492063,0.021931156196684967,0.41648459383753506
0.04470523406364264,0.04339239916463794,0.031187732214023628,0.2476233589859665,2.0,0.09001934216094254,0.28590187590187593,5.238388954368678e-13,0.01835450021566542,0.07359478087164789,0.04427404241863405,0.07007912920909082,0.2225,0.026438987698657903,0.2531349206349206
